method,n_seeds,success_rate_pct,mean_cycles,median_cycles,std_cycles,mean_cycles_successful_jobs,failure_rate_pct,invalid_action_rate,env_steps_to_convergence,optimizer_steps_to_convergence,seeds_converged,train_time_s,inference_ms_per_decision,device
CNN-PPO,1,96.2,5.94,4,5.207,5.121,3.8,0.1165,2.212e+05,2.765e+04,1,1800,0.7296,cpu
GNN-maxpool-PPO,1,4,25.06,26,5.96,3.65,96,0.8824,,,0,1269,0.7035,cpu
GNN-dirGCN-max-PPO,1,99.4,4.89,4,3.204,4.805,0.6,0.004499,7.373e+04,9216,1,3962,1.234,cpu
GNN-GCN-role-PPO,1,5,24.83,26,6.526,2.48,95,0.8929,,,0,1055,0.7979,cpu
