method,seed,encoder,graph_node_features,graph_connectivity,edge_attributes,gnn_type,gnn_hidden_dim,gnn_num_layers,pooling,cnn_channels,cnn_hidden_dim,chip,obs_size,fault_fraction,mark_collisions,ppo_n_envs,ppo_n_steps,ppo_batch_size,ppo_n_epochs,ppo_gamma,ppo_gae_lambda,ppo_ent_coef,ppo_vf_coef,ppo_clip_range,lr0,epochs,steps_per_epoch,total_env_steps,evaluation_protocol
CNN-PPO,0,cnn,,,,,,,flatten (CNN),"[32, 64, 64]",128,16x16,16x16,0.0,False,8,64,32,4,0.99,0.95,0.01,0.5,0.2,0.00035,40,8192,327680,"500 held-out jobs, eval seed 20000, deterministic policy, timeouts counted at k_max"
GNN-maxpool-PPO,0,gnn,"health, droplet, goal","8-neighbour grid, both directions",none,gcn,64,3,max,,,16x16,native,0.0,False,8,64,32,4,0.99,0.95,0.01,0.5,0.2,0.00035,40,8192,327680,"500 held-out jobs, eval seed 20000, deterministic policy, timeouts counted at k_max"
